business_id,yelpPage
mitchells-soul-food-brooklyn,https://www.yelp.com/biz/mitchells-soul-food-brooklyn
dallas-bbq-brooklyn,https://www.yelp.com/biz/dallas-bbq-brooklyn
faun-brooklyn,https://www.yelp.com/biz/faun-brooklyn
la-bagel-delight-brooklyn-7,https://www.yelp.com/biz/la-bagel-delight-brooklyn-7
gorilla-coffee-new-york-2,https://www.yelp.com/biz/gorilla-coffee-new-york-2
devocion-brooklyn-3,https://www.yelp.com/biz/devocion-brooklyn-3
the-soul-spot-brooklyn,https://www.yelp.com/biz/the-soul-spot-brooklyn
parklife-brooklyn,https://www.yelp.com/biz/parklife-brooklyn
branded-saloon-brooklyn,https://www.yelp.com/biz/branded-saloon-brooklyn
mr-wonton-brooklyn,https://www.yelp.com/biz/mr-wonton-brooklyn
my-little-pizzeria-brooklyn,https://www.yelp.com/biz/my-little-pizzeria-brooklyn
mos-fort-greene-brooklyn,https://www.yelp.com/biz/mos-fort-greene-brooklyn
kos-kaffe-roasting-house-brooklyn,https://www.yelp.com/biz/kos-kaffe-roasting-house-brooklyn
bareburger-brooklyn-3,https://www.yelp.com/biz/bareburger-brooklyn-3
colony-274-brooklyn,https://www.yelp.com/biz/colony-274-brooklyn
the-empanada-lady-brooklyn-2,https://www.yelp.com/biz/the-empanada-lady-brooklyn-2
ginos-pizzeria-brooklyn-5,https://www.yelp.com/biz/ginos-pizzeria-brooklyn-5
oceans-8-at-brownstone-billiards-brooklyn,https://www.yelp.com/biz/oceans-8-at-brownstone-billiards-brooklyn
givers-and-takers-brooklyn-3,https://www.yelp.com/biz/givers-and-takers-brooklyn-3
new-china-wok-chinese-kitchen-brooklyn-2,https://www.yelp.com/biz/new-china-wok-chinese-kitchen-brooklyn-2
companion-cafe-brooklyn,https://www.yelp.com/biz/companion-cafe-brooklyn
new-china-tung-brooklyn-2,https://www.yelp.com/biz/new-china-tung-brooklyn-2
gotham-market-at-the-ashland-brooklyn-2,https://www.yelp.com/biz/gotham-market-at-the-ashland-brooklyn-2
metro-feast-brooklyn,https://www.yelp.com/biz/metro-feast-brooklyn
black-iron-burger-brooklyn,https://www.yelp.com/biz/black-iron-burger-brooklyn
nunu-chocolates-brooklyn-2,https://www.yelp.com/biz/nunu-chocolates-brooklyn-2
black-forest-brooklyn-brooklyn-2,https://www.yelp.com/biz/black-forest-brooklyn-brooklyn-2
nyc-love-coffee-brooklyn-5,https://www.yelp.com/biz/nyc-love-coffee-brooklyn-5
smith-gourmet-deli-brooklyn,https://www.yelp.com/biz/smith-gourmet-deli-brooklyn
academy-restaurant-brooklyn,https://www.yelp.com/biz/academy-restaurant-brooklyn
the-bagel-market-brooklyn,https://www.yelp.com/biz/the-bagel-market-brooklyn
bleachers-sports-bar-and-grill-park-slope,https://www.yelp.com/biz/bleachers-sports-bar-and-grill-park-slope
daigo-handroll-bar-brooklyn,https://www.yelp.com/biz/daigo-handroll-bar-brooklyn
wing-wagon-brooklyn,https://www.yelp.com/biz/wing-wagon-brooklyn
atlantic-social-brooklyn,https://www.yelp.com/biz/atlantic-social-brooklyn
velvette-brew-brooklyn-3,https://www.yelp.com/biz/velvette-brew-brooklyn-3
park-cafe-brooklyn,https://www.yelp.com/biz/park-cafe-brooklyn
tacombi-fort-greene-brooklyn-2,https://www.yelp.com/biz/tacombi-fort-greene-brooklyn-2
kami-asian-restaurant-brooklyn,https://www.yelp.com/biz/kami-asian-restaurant-brooklyn
milk-bar-brooklyn-brooklyn,https://www.yelp.com/biz/milk-bar-brooklyn-brooklyn
habana-to-go-brooklyn,https://www.yelp.com/biz/habana-to-go-brooklyn
starbucks-brooklyn-34,https://www.yelp.com/biz/starbucks-brooklyn-34
cuzins-duzin-brooklyn-3,https://www.yelp.com/biz/cuzins-duzin-brooklyn-3
american-vegan-brooklyn-2,https://www.yelp.com/biz/american-vegan-brooklyn-2
rancho-alegre-brooklyn,https://www.yelp.com/biz/rancho-alegre-brooklyn
bar-basic-brooklyn,https://www.yelp.com/biz/bar-basic-brooklyn
gran-caffe-de-martini-brooklyn-2,https://www.yelp.com/biz/gran-caffe-de-martini-brooklyn-2
the-estaminet-brooklyn,https://www.yelp.com/biz/the-estaminet-brooklyn
four-and-twenty-blackbirds-brooklyn-5,https://www.yelp.com/biz/four-and-twenty-blackbirds-brooklyn-5
mother-dough-brooklyn,https://www.yelp.com/biz/mother-dough-brooklyn
new-apollo-diner-brooklyn,https://www.yelp.com/biz/new-apollo-diner-brooklyn
broccolino-brooklyn-2,https://www.yelp.com/biz/broccolino-brooklyn-2
mezcals-mexican-restaurant-brooklyn-4,https://www.yelp.com/biz/mezcals-mexican-restaurant-brooklyn-4
kotti-berliner-döner-kebab-brooklyn-3,https://www.yelp.com/biz/kotti-berliner-döner-kebab-brooklyn-3
el-habanero-brooklyn,https://www.yelp.com/biz/el-habanero-brooklyn
tenichi-ramen-cobble-hill-brooklyn,https://www.yelp.com/biz/tenichi-ramen-cobble-hill-brooklyn
dickeys-barbecue-pit-brooklyn,https://www.yelp.com/biz/dickeys-barbecue-pit-brooklyn
brooklyn-pizza-market-brooklyn,https://www.yelp.com/biz/brooklyn-pizza-market-brooklyn
chau-down-cafe-brooklyn,https://www.yelp.com/biz/chau-down-cafe-brooklyn
oaxaca-taqueria-brooklyn-3,https://www.yelp.com/biz/oaxaca-taqueria-brooklyn-3
punta-cana-park-slope,https://www.yelp.com/biz/punta-cana-park-slope
poke-zone-brooklyn-2,https://www.yelp.com/biz/poke-zone-brooklyn-2
carroll-gardens-classic-diner-brooklyn,https://www.yelp.com/biz/carroll-gardens-classic-diner-brooklyn
starbucks-brooklyn-3,https://www.yelp.com/biz/starbucks-brooklyn-3
lizzie-kings-parlor-brooklyn-2,https://www.yelp.com/biz/lizzie-kings-parlor-brooklyn-2
rice-and-beans-restaurant-brooklyn,https://www.yelp.com/biz/rice-and-beans-restaurant-brooklyn
pinkberry-brooklyn,https://www.yelp.com/biz/pinkberry-brooklyn
pelicana-chicken-brooklyn-3,https://www.yelp.com/biz/pelicana-chicken-brooklyn-3
the-brooklyn-commons-brooklyn-2,https://www.yelp.com/biz/the-brooklyn-commons-brooklyn-2
oh-dumplings-brooklyn,https://www.yelp.com/biz/oh-dumplings-brooklyn
the-milk-truck-brooklyn,https://www.yelp.com/biz/the-milk-truck-brooklyn
the-roof-brooklyn,https://www.yelp.com/biz/the-roof-brooklyn
