yelpPage,priceRange,exactZipcode,latitude,longitude
https://www.yelp.com/biz/made-in-mexico-harlem-new-york,$11-30,10029,40.7940072130959,-73.9402346313
https://www.yelp.com/biz/la-avenida-new-york,$11-30,10029,40.7957307,-73.9359683
https://www.yelp.com/biz/the-kiosk-new-york,$11-30,10029,40.7993629,-73.9437368
https://www.yelp.com/biz/rdv-rendezvous-new-york-3,$11-30,10026,40.802040664408,-73.956772898909
https://www.yelp.com/biz/fernandez-cigar-lounge-new-york,Inexpensive,10035,40.8017492,-73.9348578
https://www.yelp.com/biz/harlem-hops-new-york-2,Moderate,10030,40.814489,-73.9448224
https://www.yelp.com/biz/dive-106-new-york-4,,10025,40.8007864,-73.9658536
https://www.yelp.com/biz/hip-hop-karaoke-manhattan,Ultra High-End,n  NY,40.7902778,-73.9597222
https://www.yelp.com/biz/m-g-s-bar-y-grill-new-york-2,,10031,40.8214311757894,-73.9544845372438
https://www.yelp.com/biz/hop-house-harlem-new-york-2,$11-30,10026,40.8067859,-73.9532719
https://www.yelp.com/biz/the-cecil-steakhouse-new-york,$31-60,10026,40.8047705,-73.9525238
https://www.yelp.com/biz/american-legion-post-398-new-york,Inexpensive,10027,40.81393,-73.9467855
https://www.yelp.com/biz/spice-new-york-14,$11-30,10025,40.8016123540962,-73.964790176728
https://www.yelp.com/biz/radio-amsterdam-new-york,Moderate,10024,40.78336,-73.9778
https://www.yelp.com/biz/music-before-1800-new-york,,10027,40.8110664,-73.9607802
https://www.yelp.com/biz/j-a-d-hotelaria-évora,,tugal,40.7828647,-73.9653551
https://www.yelp.com/biz/crazy4jazz-manhattan,,10026,40.803343040396,-73.9525395846558
https://www.yelp.com/biz/leather-lounge-new-york,,10027,40.813638,-73.9539377
https://www.yelp.com/biz/lions-head-tavern-new-york,Under $10,10025,40.8021538,-73.964054
https://www.yelp.com/biz/lolos-seafood-shack-new-york,$11-30,10026,40.8048187,-73.9557056
https://www.yelp.com/biz/east-harlem-bottling-new-york-3,$11-30,10029,40.79293791199,-73.9455429167249
https://www.yelp.com/biz/the-restaurant-at-mist-new-york-2,Moderate,10026,40.8012472,-73.9485127
https://www.yelp.com/biz/lido-new-york,$11-30,10026,40.8049797781916,-73.9548260014624
https://www.yelp.com/biz/el-kallejon-new-york,$11-30,10035,40.798538,-73.938805
