yelpPage,priceRange,exactZipcode,latitude,longitude
https://www.yelp.com/biz/burlington-new-york-2,,10027,40.8077325,-73.9461734
https://www.yelp.com/biz/kes-new-york,,10024,40.7852438092232,-73.9767294377089
https://www.yelp.com/biz/tom-dick-and-harry-sneakers-and-apparel-new-york,Moderate,10029,40.792141,-73.944605
https://www.yelp.com/biz/gateway-center-bronx,Moderate,10451,40.821661,-73.9302426
https://www.yelp.com/biz/porta-bella-new-york-10,Moderate,10027,40.8098983,-73.9498049
https://www.yelp.com/biz/unforgettable-loyalty-new-york-2,,10037,40.8173082,-73.9384294
https://www.yelp.com/biz/ag-fashion-new-york,Pricey,10027,40.8070469115544,-73.9528589275426
https://www.yelp.com/biz/24-hours-pawn-shop-new-york-16,Ultra High-End,10027,40.8093504,-73.9499332
https://www.yelp.com/biz/1-stop-shop-furniture-and-electronics-new-york,Inexpensive,10027,40.808355,-73.947284
https://www.yelp.com/biz/kicksusa-new-york,,10029,40.789402,-73.9466822
https://www.yelp.com/biz/burlington-coat-factory-new-york-4,Moderate,10035,40.7955738,-73.931687
https://www.yelp.com/biz/old-navy-new-york-5,Moderate,10027,40.8101032,-73.9516675
https://www.yelp.com/biz/rigby-and-peller-new-york-3,Moderate,10128,40.783378,-73.957219
https://www.yelp.com/biz/payless-shoesource-new-york-20,Inexpensive,10027,40.8089897,-73.949116
https://www.yelp.com/biz/book-culture-new-york,Moderate,10025,40.804991,-73.964975
https://www.yelp.com/biz/goodwill-thrift-shop-new-york-3,Inexpensive,10035,40.8013844,-73.9371217
https://www.yelp.com/biz/ashley-stewart-new-york-2,,10026,40.8017226,-73.9483604
https://www.yelp.com/biz/darryls-boutique-new-york,Moderate,10024,40.7863148,-73.9763694
https://www.yelp.com/biz/lexington-outlet-new-york,,10029,40.7908149,-73.9475317
https://www.yelp.com/biz/get-unique-pieces-new-york,,10031,40.818956,-73.955408
https://www.yelp.com/biz/homegoods-new-york-2,Moderate,10025,40.794485,-73.965878
https://www.yelp.com/biz/felix-and-fanny-new-york-2,Pricey,10025,40.8050613,-73.9654849
https://www.yelp.com/biz/supermud-pottery-studio-new-york-2,Moderate,10025,40.800626,-73.967701
https://www.yelp.com/biz/mandee-new-york-8,,10025,40.796973,-73.970603
https://www.yelp.com/biz/deals-new-york-2,Inexpensive,10026,40.8011187,-73.9481287
https://www.yelp.com/biz/mahogany-clothing-new-york,,10027,40.8066823,-73.9432405
https://www.yelp.com/biz/new-york-and-company-new-york-9,Moderate,10027,40.806722663328,-73.9431149897317
https://www.yelp.com/biz/otte-new-york,Pricey,10128,40.7842106,-73.956073
https://www.yelp.com/biz/lady-love-new-york,Moderate,10027,40.8068602,-73.9440417
https://www.yelp.com/biz/usa-superstore-new-york,Inexpensive,10029,40.799399,-73.944207
https://www.yelp.com/biz/guggenheim-museum-store-new-york,Pricey,10128,40.7831815,-73.9588052
https://www.yelp.com/biz/house-of-angels-new-york-new-york,Moderate,10027,40.8108378,-73.9514695
https://www.yelp.com/biz/jack-american-outlet-new-york,Inexpensive,10029,40.7908008,-73.9456721
https://www.yelp.com/biz/bed-bath-and-beyond-new-york-9,Moderate,10027,40.806995958781,-73.9426888525486
https://www.yelp.com/biz/conscious-apparel-new-york,,10026,40.8042922,-73.9476695
